County,Population
".Jackson County, Florida","47,316"
".Jefferson County, Florida","14,512"
".Lafayette County, Florida","8,228"
".Lake County, Florida","383,964"
".Lee County, Florida","760,822"
".Leon County, Florida","292,207"
".Levy County, Florida","42,913"
".Liberty County, Florida","7,979"
".Madison County, Florida","17,971"
".Manatee County, Florida","399,716"
".Marion County, Florida","375,902"
".Martin County, Florida","158,430"
".Miami-Dade County, Florida","2,701,751"
".Monroe County, Florida","82,870"
".Nassau County, Florida","90,356"
".Okaloosa County, Florida","211,662"
".Okeechobee County, Florida","39,640"
".Orange County, Florida","1,429,910"
".Osceola County, Florida","388,661"
".Palm Beach County, Florida","1,492,202"
".Pasco County, Florida","561,890"
".Pinellas County, Florida","959,111"
".Polk County, Florida","725,036"
".Putnam County, Florida","73,325"
".St. Johns County, Florida","273,423"
".St. Lucie County, Florida","329,224"
".Santa Rosa County, Florida","187,998"
".Sarasota County, Florida","434,008"
".Seminole County, Florida","470,852"
".Sumter County, Florida","129,753"
".Suwannee County, Florida","43,473"
".Taylor County, Florida","21,797"
".Union County, Florida","16,141"
".Volusia County, Florida","553,544"
".Wakulla County, Florida","33,766"
".Walton County, Florida","75,309"
".Washington County, Florida","25,311"
".Appling County, Georgia","18,443"
".Atkinson County, Georgia","8,289"
".Bacon County, Georgia","11,143"
".Baker County, Georgia","2,873"
".Baldwin County, Georgia","43,791"
".Banks County, Georgia","18,092"
".Barrow County, Georgia","83,527"
".Bartow County, Georgia","108,900"
".Ben Hill County, Georgia","17,191"
".Berrien County, Georgia","18,159"
".Bibb County, Georgia","157,345"
".Bleckley County, Georgia","12,585"
".Brantley County, Georgia","18,021"
".Brooks County, Georgia","16,300"
".Bryan County, Georgia","44,739"
".Bulloch County, Georgia","79,643"
".Burke County, Georgia","24,598"
".Butts County, Georgia","25,438"
".Calhoun County, Georgia","5,575"
".Camden County, Georgia","54,770"
".Candler County, Georgia","10,991"
".Carroll County, Georgia","119,132"
".Catoosa County, Georgia","67,873"
".Charlton County, Georgia","12,516"
".Chatham County, Georgia","295,264"
".Chattahoochee County, Georgia","9,569"
".Chattooga County, Georgia","24,971"
".Cherokee County, Georgia","266,600"
".Clarke County, Georgia","128,662"
".Clay County, Georgia","2,846"
