County,Population
".Faulk County, South Dakota","2,124"
".Grant County, South Dakota","7,562"
".Gregory County, South Dakota","3,991"
".Haakon County, South Dakota","1,874"
".Hamlin County, South Dakota","6,162"
".Hand County, South Dakota","3,148"
".Hanson County, South Dakota","3,458"
".Harding County, South Dakota","1,310"
".Hughes County, South Dakota","17,770"
".Hutchinson County, South Dakota","7,425"
".Hyde County, South Dakota","1,263"
".Jackson County, South Dakota","2,808"
".Jerauld County, South Dakota","1,657"
".Jones County, South Dakota",917
".Kingsbury County, South Dakota","5,187"
".Lake County, South Dakota","11,064"
".Lawrence County, South Dakota","25,776"
".Lincoln County, South Dakota","65,156"
".Lyman County, South Dakota","3,714"
".McCook County, South Dakota","5,683"
".McPherson County, South Dakota","2,410"
".Marshall County, South Dakota","4,300"
".Meade County, South Dakota","29,850"
".Mellette County, South Dakota","1,921"
".Miner County, South Dakota","2,300"
".Minnehaha County, South Dakota","197,221"
".Moody County, South Dakota","6,336"
".Oglala Lakota County, South Dakota","13,671"
".Pennington County, South Dakota","109,229"
".Perkins County, South Dakota","2,849"
".Potter County, South Dakota","2,474"
".Roberts County, South Dakota","10,282"
".Sanborn County, South Dakota","2,335"
".Spink County, South Dakota","6,357"
".Stanley County, South Dakota","2,980"
".Sully County, South Dakota","1,447"
".Todd County, South Dakota","9,322"
".Tripp County, South Dakota","5,625"
".Turner County, South Dakota","8,674"
".Union County, South Dakota","16,814"
".Walworth County, South Dakota","5,318"
".Yankton County, South Dakota","23,312"
".Ziebach County, South Dakota","2,414"
".Anderson County, Tennessee","77,154"
".Bedford County, Tennessee","50,246"
".Benton County, Tennessee","15,865"
".Bledsoe County, Tennessee","14,916"
".Blount County, Tennessee","135,284"
".Bradley County, Tennessee","108,620"
".Campbell County, Tennessee","39,278"
".Cannon County, Tennessee","14,503"
".Carroll County, Tennessee","28,436"
".Carter County, Tennessee","56,363"
".Cheatham County, Tennessee","41,021"
".Chester County, Tennessee","17,352"
".Claiborne County, Tennessee","32,037"
".Clay County, Tennessee","7,585"
".Cocke County, Tennessee","35,997"
".Coffee County, Tennessee","57,889"
".Crockett County, Tennessee","13,908"
".Cumberland County, Tennessee","61,145"
".Davidson County, Tennessee","715,884"
".Decatur County, Tennessee","11,436"
".DeKalb County, Tennessee","20,079"
".Dickson County, Tennessee","54,317"
".Dyer County, Tennessee","36,799"
".Fayette County, Tennessee","41,714"
".Fentress County, Tennessee","18,487"
".Franklin County, Tennessee","42,733"
".Gibson County, Tennessee","50,413"
".Giles County, Tennessee","30,343"
".Grainger County, Tennessee","23,528"
".Greene County, Tennessee","70,161"
".Grundy County, Tennessee","13,533"
".Hamblen County, Tennessee","64,497"
".Hamilton County, Tennessee","366,837"
".Hancock County, Tennessee","6,660"
".Hardeman County, Tennessee","25,461"
".Hardin County, Tennessee","26,977"
".Hawkins County, Tennessee","56,723"
".Haywood County, Tennessee","17,861"
".Henderson County, Tennessee","27,840"
".Henry County, Tennessee","32,196"
".Hickman County, Tennessee","24,907"
".Houston County, Tennessee","8,284"
".Humphreys County, Tennessee","18,985"
".Jackson County, Tennessee","11,614"
".Jefferson County, Tennessee","54,681"
".Johnson County, Tennessee","17,952"
".Knox County, Tennessee","478,959"
".Lake County, Tennessee","6,999"
".Lauderdale County, Tennessee","25,140"
".Lawrence County, Tennessee","44,154"
".Lewis County, Tennessee","12,583"
".Lincoln County, Tennessee","35,324"
".Loudon County, Tennessee","54,891"
".McMinn County, Tennessee","53,274"
".McNairy County, Tennessee","25,855"
".Macon County, Tennessee","25,217"
".Madison County, Tennessee","98,832"
".Marion County, Tennessee","28,871"
".Marshall County, Tennessee","34,322"
".Maury County, Tennessee","100,974"
".Meigs County, Tennessee","12,756"
".Monroe County, Tennessee","46,250"
".Montgomery County, Tennessee","220,012"
".Moore County, Tennessee","6,463"
".Morgan County, Tennessee","21,036"
".Obion County, Tennessee","30,791"
".Overton County, Tennessee","22,505"
".Perry County, Tennessee","8,387"
".Pickett County, Tennessee","5,003"
".Polk County, Tennessee","17,544"
".Putnam County, Tennessee","79,858"
".Rhea County, Tennessee","33,220"
".Roane County, Tennessee","53,542"
".Robertson County, Tennessee","72,811"
".Rutherford County, Tennessee","341,478"
".Scott County, Tennessee","21,847"
".Sequatchie County, Tennessee","15,823"
".Sevier County, Tennessee","98,679"
".Shelby County, Tennessee","930,015"
".Smith County, Tennessee","19,908"
".Stewart County, Tennessee","13,658"
".Sullivan County, Tennessee","158,161"
".Sumner County, Tennessee","196,280"
".Tipton County, Tennessee","60,977"
".Trousdale County, Tennessee","11,609"
".Unicoi County, Tennessee","17,912"
".Union County, Tennessee","19,802"
".Van Buren County, Tennessee","6,169"
".Warren County, Tennessee","40,950"
".Washington County, Tennessee","133,005"
".Wayne County, Tennessee","16,231"
".Weakley County, Tennessee","32,899"
".White County, Tennessee","27,354"
".Williamson County, Tennessee","247,777"
".Wilson County, Tennessee","147,739"
".Anderson County, Texas","57,927"
".Andrews County, Texas","18,611"
".Angelina County, Texas","86,512"
".Aransas County, Texas","23,835"
".Archer County, Texas","8,554"
".Armstrong County, Texas","1,848"
".Atascosa County, Texas","49,134"
".Austin County, Texas","30,167"
".Bailey County, Texas","6,903"
".Bandera County, Texas","20,842"
".Bastrop County, Texas","97,230"
".Baylor County, Texas","3,465"
".Bee County, Texas","31,054"
".Bell County, Texas","370,790"
".Bexar County, Texas","2,009,323"
".Blanco County, Texas","11,377"
".Borden County, Texas",629
".Bosque County, Texas","18,229"
".Bowie County, Texas","92,892"
".Brazoria County, Texas","372,040"
".Brazos County, Texas","233,849"
".Brewster County, Texas","9,547"
".Briscoe County, Texas","1,437"
".Brooks County, Texas","7,127"
".Brown County, Texas","38,107"
".Burleson County, Texas","17,642"
".Burnet County, Texas","49,123"
".Caldwell County, Texas","45,879"
".Calhoun County, Texas","20,104"
".Callahan County, Texas","13,710"
".Cameron County, Texas","421,126"
".Camp County, Texas","12,466"
".Carson County, Texas","5,801"
".Cass County, Texas","28,448"
".Castro County, Texas","7,372"
".Chambers County, Texas","46,543"
".Cherokee County, Texas","50,529"
".Childress County, Texas","6,667"
".Clay County, Texas","10,217"
".Cochran County, Texas","2,550"
".Coke County, Texas","3,305"
".Coleman County, Texas","7,682"
".Collin County, Texas","1,066,331"
".Collingsworth County, Texas","2,653"
".Colorado County, Texas","20,640"
".Comal County, Texas","161,466"
".Comanche County, Texas","13,591"
".Concho County, Texas","3,300"
".Cooke County, Texas","41,669"
".Coryell County, Texas","83,088"
".Cottle County, Texas","1,380"
".Crane County, Texas","4,676"
".Crockett County, Texas","3,097"
".Crosby County, Texas","5,126"
".Culberson County, Texas","2,187"
".Dallam County, Texas","7,134"
".Dallas County, Texas","2,611,995"
".Dawson County, Texas","12,457"
".Deaf Smith County, Texas","18,584"
".Delta County, Texas","5,226"
".Denton County, Texas","906,485"
".DeWitt County, Texas","19,828"
".Dickens County, Texas","1,771"
".Dimmit County, Texas","8,615"
".Donley County, Texas","3,262"
".Duval County, Texas","9,828"
".Eastland County, Texas","17,750"
".Ector County, Texas","165,182"
".Edwards County, Texas","1,423"
".Ellis County, Texas","192,451"
".El Paso County, Texas","865,710"
".Erath County, Texas","42,543"
".Falls County, Texas","16,969"
".Fannin County, Texas","35,837"
".Fayette County, Texas","24,473"
".Fisher County, Texas","3,672"
".Floyd County, Texas","5,401"
".Foard County, Texas","1,097"
".Fort Bend County, Texas","822,989"
".Franklin County, Texas","10,355"
".Freestone County, Texas","19,440"
".Frio County, Texas","18,391"
".Gaines County, Texas","21,602"
".Galveston County, Texas","350,686"
".Garza County, Texas","5,818"
".Gillespie County, Texas","26,743"
".Glasscock County, Texas","1,115"
".Goliad County, Texas","7,018"
".Gonzales County, Texas","19,657"
".Gray County, Texas","21,225"
".Grayson County, Texas","135,592"
".Gregg County, Texas","124,301"
".Grimes County, Texas","29,296"
".Guadalupe County, Texas","172,712"
".Hale County, Texas","32,526"
".Hall County, Texas","2,819"
".Hamilton County, Texas","8,220"
".Hansford County, Texas","5,273"
".Hardeman County, Texas","3,550"
".Hardin County, Texas","56,237"
".Harris County, Texas","4,731,433"
".Harrison County, Texas","68,834"
".Hartley County, Texas","5,366"
".Haskell County, Texas","5,416"
".Hays County, Texas","241,069"
".Hemphill County, Texas","3,384"
".Henderson County, Texas","82,144"
".Hidalgo County, Texas","870,790"
".Hill County, Texas","35,867"
".Hockley County, Texas","21,534"
".Hood County, Texas","61,594"
".Hopkins County, Texas","36,790"
".Houston County, Texas","22,078"
".Howard County, Texas","34,860"
".Hudspeth County, Texas","3,202"
".Hunt County, Texas","99,949"
".Hutchinson County, Texas","20,620"
".Irion County, Texas","1,514"
".Jack County, Texas","8,473"
".Jackson County, Texas","14,990"
".Jasper County, Texas","32,980"
".Jeff Davis County, Texas","1,998"
".Jefferson County, Texas","256,543"
".Jim Hogg County, Texas","4,835"
".Jim Wells County, Texas","38,901"
".Johnson County, Texas","179,995"
".Jones County, Texas","19,663"
".Karnes County, Texas","14,771"
".Kaufman County, Texas","145,330"
".Kendall County, Texas","44,303"
".Kenedy County, Texas",351
".Kent County, Texas",751
".Kerr County, Texas","52,598"
".Kimble County, Texas","4,282"
".King County, Texas",263
".Kinney County, Texas","3,131"
".Kleberg County, Texas","31,040"
".Knox County, Texas","3,357"
".Lamar County, Texas","50,083"
".Lamb County, Texas","13,043"
".Lampasas County, Texas","21,625"
".La Salle County, Texas","6,660"
".Lavaca County, Texas","20,338"
".Lee County, Texas","17,482"
".Leon County, Texas","15,761"
".Liberty County, Texas","91,658"
".Limestone County, Texas","22,153"
".Lipscomb County, Texas","3,061"
".Live Oak County, Texas","11,330"
".Llano County, Texas","21,277"
".Loving County, Texas",65
".Lubbock County, Texas","310,635"
".Lynn County, Texas","5,590"
".McCulloch County, Texas","7,629"
".McLennan County, Texas","260,582"
".McMullen County, Texas",599
".Madison County, Texas","13,461"
".Marion County, Texas","9,843"
".Martin County, Texas","5,247"
".Mason County, Texas","3,951"
".Matagorda County, Texas","36,258"
".Maverick County, Texas","57,881"
".Medina County, Texas","50,857"
".Menard County, Texas","1,964"
".Midland County, Texas","170,340"
".Milam County, Texas","24,749"
".Mills County, Texas","4,455"
".Mitchell County, Texas","8,992"
".Montague County, Texas","20,011"
".Montgomery County, Texas","620,567"
".Moore County, Texas","21,363"
".Morris County, Texas","11,971"
".Motley County, Texas","1,064"
".Nacogdoches County, Texas","64,669"
".Navarro County, Texas","52,645"
".Newton County, Texas","12,218"
".Nolan County, Texas","14,741"
".Nueces County, Texas","353,357"
".Ochiltree County, Texas","10,013"
".Oldham County, Texas","1,758"
".Orange County, Texas","84,815"
".Palo Pinto County, Texas","28,408"
".Panola County, Texas","22,496"
".Parker County, Texas","148,221"
".Parmer County, Texas","9,870"
".Pecos County, Texas","15,193"
".Polk County, Texas","50,118"
".Potter County, Texas","118,557"
".Presidio County, Texas","6,131"
".Rains County, Texas","12,154"
".Randall County, Texas","140,741"
".Reagan County, Texas","3,427"
".Real County, Texas","2,758"
".Red River County, Texas","11,584"
".Reeves County, Texas","14,745"
".Refugio County, Texas","6,736"
".Roberts County, Texas",829
".Robertson County, Texas","16,754"
".Rockwall County, Texas","107,884"
".Runnels County, Texas","9,900"
".Rusk County, Texas","52,216"
".Sabine County, Texas","9,894"
".San Augustine County, Texas","7,923"
".San Jacinto County, Texas","27,400"
".San Patricio County, Texas","68,753"
".San Saba County, Texas","5,725"
".Schleicher County, Texas","2,452"
".Scurry County, Texas","16,910"
".Shackelford County, Texas","3,106"
".Shelby County, Texas","24,140"
".Sherman County, Texas","2,784"
".Smith County, Texas","233,480"
".Somervell County, Texas","9,205"
".Starr County, Texas","65,921"
".Stephens County, Texas","9,099"
".Sterling County, Texas","1,372"
".Stonewall County, Texas","1,245"
".Sutton County, Texas","3,374"
".Swisher County, Texas","6,973"
".Tarrant County, Texas","2,110,999"
".Taylor County, Texas","143,238"
".Terrell County, Texas",760
".Terry County, Texas","11,827"
".Throckmorton County, Texas","1,441"
".Titus County, Texas","31,241"
".Tom Green County, Texas","120,005"
".Travis County, Texas","1,290,151"
".Trinity County, Texas","13,604"
".Tyler County, Texas","19,817"
".Upshur County, Texas","40,886"
".Upton County, Texas","3,310"
".Uvalde County, Texas","24,566"
".Val Verde County, Texas","47,588"
".Van Zandt County, Texas","59,534"
".Victoria County, Texas","91,322"
".Walker County, Texas","76,408"
".Waller County, Texas","56,750"
".Ward County, Texas","11,643"
".Washington County, Texas","35,797"
".Webb County, Texas","267,114"
".Wharton County, Texas","41,590"
".Wheeler County, Texas","4,987"
".Wichita County, Texas","129,360"
".Wilbarger County, Texas","12,890"
".Willacy County, Texas","20,162"
".Williamson County, Texas","609,057"
".Wilson County, Texas","49,750"
".Winkler County, Texas","7,791"
".Wise County, Texas","68,618"
".Wood County, Texas","44,849"
".Yoakum County, Texas","7,691"
".Young County, Texas","17,864"
".Zapata County, Texas","13,888"
".Zavala County, Texas","9,667"
".Beaver County, Utah","7,073"
".Box Elder County, Utah","57,665"
".Cache County, Utah","133,152"
".Carbon County, Utah","20,407"
".Daggett County, Utah",936
".Davis County, Utah","362,681"
".Duchesne County, Utah","19,609"
".Emery County, Utah","9,826"
".Garfield County, Utah","5,081"
".Grand County, Utah","9,672"
".Iron County, Utah","57,281"
".Juab County, Utah","11,784"
".Kane County, Utah","7,661"
".Millard County, Utah","12,981"
".Morgan County, Utah","12,297"
".Piute County, Utah","1,442"
".Rich County, Utah","2,512"
".Salt Lake County, Utah","1,185,234"
".San Juan County, Utah","14,508"
".Sanpete County, Utah","28,438"
".Sevier County, Utah","21,516"
".Summit County, Utah","42,361"
".Tooele County, Utah","72,700"
".Uintah County, Utah","35,613"
".Utah County, Utah","659,397"
".Wasatch County, Utah","34,787"
".Washington County, Utah","180,289"
".Wayne County, Utah","2,487"
".Weber County, Utah","262,218"
".Addison County, Vermont","37,360"
".Bennington County, Vermont","37,349"
".Caledonia County, Vermont","30,230"
".Chittenden County, Vermont","168,340"
".Essex County, Vermont","5,920"
".Franklin County, Vermont","49,951"
".Grand Isle County, Vermont","7,289"
".Lamoille County, Vermont","25,945"
".Orange County, Vermont","29,281"
".Orleans County, Vermont","27,396"
".Rutland County, Vermont","60,552"
".Washington County, Vermont","59,806"
".Windham County, Vermont","45,930"
".Windsor County, Vermont","57,733"
".Accomack County, Virginia","33,421"
".Albemarle County, Virginia","112,438"
".Alleghany County, Virginia","15,222"
".Amelia County, Virginia","13,260"
".Amherst County, Virginia","31,311"
".Appomattox County, Virginia","16,118"
".Arlington County, Virginia","238,646"
".Augusta County, Virginia","77,492"
".Bath County, Virginia","4,207"
".Bedford County, Virginia","79,483"
".Bland County, Virginia","6,272"
".Botetourt County, Virginia","33,592"
".Brunswick County, Virginia","15,851"
".Buchanan County, Virginia","20,346"
".Buckingham County, Virginia","16,832"
".Campbell County, Virginia","55,666"
".Caroline County, Virginia","30,887"
".Carroll County, Virginia","29,153"
".Charles City County, Virginia","6,771"
".Charlotte County, Virginia","11,530"
".Chesterfield County, Virginia","364,087"
".Clarke County, Virginia","14,788"
".Craig County, Virginia","4,896"
".Culpeper County, Virginia","52,546"
".Cumberland County, Virginia","9,689"
".Dickenson County, Virginia","14,130"
".Dinwiddie County, Virginia","27,936"
".Essex County, Virginia","10,599"
".Fairfax County, Virginia","1,150,292"
".Fauquier County, Virginia","72,964"
".Floyd County, Virginia","15,476"
".Fluvanna County, Virginia","27,250"
".Franklin County, Virginia","54,457"
".Frederick County, Virginia","91,451"
".Giles County, Virginia","16,790"
".Gloucester County, Virginia","38,714"
".Goochland County, Virginia","24,746"
".Grayson County, Virginia","15,332"
".Greene County, Virginia","20,554"
".Greensville County, Virginia","11,400"
".Halifax County, Virginia","34,023"
".Hanover County, Virginia","109,976"
".Henrico County, Virginia","334,961"
".Henry County, Virginia","50,945"
".Highland County, Virginia","2,232"
".Isle of Wight County, Virginia","38,611"
".James City County, Virginia","78,252"
".King and Queen County, Virginia","6,607"
".King George County, Virginia","26,724"
".King William County, Virginia","17,813"
".Lancaster County, Virginia","10,925"
".Lee County, Virginia","22,172"
".Loudoun County, Virginia","420,955"
".Louisa County, Virginia","37,583"
".Lunenburg County, Virginia","11,939"
".Madison County, Virginia","13,840"
".Mathews County, Virginia","8,534"
".Mecklenburg County, Virginia","30,315"
".Middlesex County, Virginia","10,621"
".Montgomery County, Virginia","99,725"
".Nelson County, Virginia","14,770"
".New Kent County, Virginia","22,946"
".Northampton County, Virginia","12,280"
".Northumberland County, Virginia","11,835"
".Nottoway County, Virginia","15,646"
".Orange County, Virginia","36,183"
".Page County, Virginia","23,706"
".Patrick County, Virginia","17,606"
".Pittsylvania County, Virginia","60,509"
".Powhatan County, Virginia","30,342"
".Prince Edward County, Virginia","21,836"
".Prince George County, Virginia","43,006"
".Prince William County, Virginia","482,209"
".Pulaski County, Virginia","33,790"
".Rappahannock County, Virginia","7,351"
".Richmond County, Virginia","8,917"
".Roanoke County, Virginia","96,956"
".Rockbridge County, Virginia","22,658"
".Rockingham County, Virginia","83,765"
".Russell County, Virginia","25,781"
".Scott County, Virginia","21,566"
".Shenandoah County, Virginia","44,179"
".Smyth County, Virginia","29,793"
".Southampton County, Virginia","17,997"
".Spotsylvania County, Virginia","140,095"
".Stafford County, Virginia","156,937"
".Surry County, Virginia","6,558"
".Sussex County, Virginia","10,838"
".Tazewell County, Virginia","40,440"
".Warren County, Virginia","40,724"
".Washington County, Virginia","53,940"
".Westmoreland County, Virginia","18,471"
".Wise County, Virginia","36,118"
".Wythe County, Virginia","28,288"
".York County, Virginia","70,054"
".Alexandria city, Virginia","159,463"
".Bristol city, Virginia","17,222"
".Buena Vista city, Virginia","6,641"
".Charlottesville city, Virginia","46,513"
".Chesapeake city, Virginia","249,302"
".Colonial Heights city, Virginia","18,146"
".Covington city, Virginia","5,746"
".Danville city, Virginia","42,586"
".Emporia city, Virginia","5,751"
".Fairfax city, Virginia","24,147"
".Falls Church city, Virginia","14,657"
".Franklin city, Virginia","8,177"
".Fredericksburg city, Virginia","27,976"
".Galax city, Virginia","6,727"
".Hampton city, Virginia","137,154"
".Harrisonburg city, Virginia","51,811"
".Hopewell city, Virginia","23,032"
".Lexington city, Virginia","7,311"
".Lynchburg city, Virginia","79,017"
".Manassas city, Virginia","42,773"
".Manassas Park city, Virginia","17,218"
".Martinsville city, Virginia","13,482"
".Newport News city, Virginia","186,239"
".Norfolk city, Virginia","238,029"
".Norton city, Virginia","3,696"
".Petersburg city, Virginia","33,465"
".Poquoson city, Virginia","12,454"
".Portsmouth city, Virginia","97,945"
".Radford city, Virginia","16,063"
".Richmond city, Virginia","226,525"
".Roanoke city, Virginia","100,016"
".Salem city, Virginia","25,341"
".Staunton city, Virginia","25,751"
".Suffolk city, Virginia","94,406"
".Virginia Beach city, Virginia","459,444"
".Waynesboro city, Virginia","22,193"
".Williamsburg city, Virginia","15,416"
".Winchester city, Virginia","28,115"
".Adams County, Washington","20,610"
".Asotin County, Washington","22,288"
".Benton County, Washington","206,869"
".Chelan County, Washington","79,144"
".Clallam County, Washington","77,159"
".Clark County, Washington","503,308"
".Columbia County, Washington","3,954"
".Cowlitz County, Washington","110,736"
".Douglas County, Washington","42,933"
".Ferry County, Washington","7,179"
".Franklin County, Washington","96,747"
".Garfield County, Washington","2,287"
".Grant County, Washington","99,125"
".Grays Harbor County, Washington","75,639"
".Island County, Washington","86,859"
".Jefferson County, Washington","32,970"
".King County, Washington","2,269,666"
".Kitsap County, Washington","275,618"
".Kittitas County, Washington","46,535"
".Klickitat County, Washington","22,735"
".Lewis County, Washington","82,151"
".Lincoln County, Washington","10,878"
".Mason County, Washington","65,718"
".Okanogan County, Washington","42,097"
".Pacific County, Washington","23,363"
".Pend Oreille County, Washington","13,401"
".Pierce County, Washington","921,162"
".San Juan County, Washington","17,786"
".Skagit County, Washington","129,518"
".Skamania County, Washington","12,036"
".Snohomish County, Washington","827,955"
".Spokane County, Washington","539,346"
".Stevens County, Washington","46,446"
".Thurston County, Washington","294,802"
".Wahkiakum County, Washington","4,424"
".Walla Walla County, Washington","62,587"
".Whatcom County, Washington","226,844"
".Whitman County, Washington","47,979"
".Yakima County, Washington","256,732"
".Barbour County, West Virginia","15,459"
".Berkeley County, West Virginia","122,070"
".Boone County, West Virginia","21,810"
".Braxton County, West Virginia","12,446"
".Brooke County, West Virginia","22,558"
".Cabell County, West Virginia","94,350"
".Calhoun County, West Virginia","6,224"
".Clay County, West Virginia","8,055"
".Doddridge County, West Virginia","7,810"
".Fayette County, West Virginia","40,499"
".Gilmer County, West Virginia","7,418"
".Grant County, West Virginia","10,980"
".Greenbrier County, West Virginia","32,983"
".Hampshire County, West Virginia","23,077"
".Hancock County, West Virginia","29,098"
".Hardy County, West Virginia","14,297"
".Harrison County, West Virginia","65,915"
".Jackson County, West Virginia","27,793"
".Jefferson County, West Virginia","57,703"
".Kanawha County, West Virginia","180,721"
".Lewis County, West Virginia","17,030"
".Lincoln County, West Virginia","20,460"
".Logan County, West Virginia","32,573"
".McDowell County, West Virginia","19,119"
".Marion County, West Virginia","56,210"
".Marshall County, West Virginia","30,617"
".Mason County, West Virginia","25,459"
".Mercer County, West Virginia","59,654"
".Mineral County, West Virginia","26,942"
".Mingo County, West Virginia","23,571"
".Monongalia County, West Virginia","105,823"
".Monroe County, West Virginia","12,379"
".Morgan County, West Virginia","17,064"
".Nicholas County, West Virginia","24,607"
".Ohio County, West Virginia","42,405"
".Pendleton County, West Virginia","6,141"
".Pleasants County, West Virginia","7,653"
".Pocahontas County, West Virginia","7,873"
".Preston County, West Virginia","34,215"
".Putnam County, West Virginia","57,436"
".Raleigh County, West Virginia","74,592"
".Randolph County, West Virginia","27,932"
".Ritchie County, West Virginia","8,445"
".Roane County, West Virginia","14,024"
".Summers County, West Virginia","11,967"
".Taylor County, West Virginia","16,706"
".Tucker County, West Virginia","6,764"
".Tyler County, West Virginia","8,305"
".Upshur County, West Virginia","23,818"
".Wayne County, West Virginia","38,980"
".Webster County, West Virginia","8,375"
".Wetzel County, West Virginia","14,458"
".Wirt County, West Virginia","5,196"
".Wood County, West Virginia","84,293"
".Wyoming County, West Virginia","21,384"
".Adams County, Wisconsin","20,651"
".Ashland County, Wisconsin","16,028"
".Barron County, Wisconsin","46,709"
".Bayfield County, Wisconsin","16,218"
".Brown County, Wisconsin","268,746"
".Buffalo County, Wisconsin","13,314"
".Burnett County, Wisconsin","16,524"
".Calumet County, Wisconsin","52,440"
".Chippewa County, Wisconsin","66,301"
".Clark County, Wisconsin","34,615"
".Columbia County, Wisconsin","58,476"
".Crawford County, Wisconsin","16,112"
".Dane County, Wisconsin","561,491"
".Dodge County, Wisconsin","89,386"
".Door County, Wisconsin","30,064"
".Douglas County, Wisconsin","44,290"
".Dunn County, Wisconsin","45,438"
".Eau Claire County, Wisconsin","105,696"
".Florence County, Wisconsin","4,558"
".Fond du Lac County, Wisconsin","104,144"
".Forest County, Wisconsin","9,178"
".Grant County, Wisconsin","51,938"
".Green County, Wisconsin","37,084"
".Green Lake County, Wisconsin","19,024"
".Iowa County, Wisconsin","23,716"
".Iron County, Wisconsin","6,131"
".Jackson County, Wisconsin","21,138"
".Jefferson County, Wisconsin","86,163"
".Juneau County, Wisconsin","26,720"
".Kenosha County, Wisconsin","169,152"
".Kewaunee County, Wisconsin","20,566"
".La Crosse County, Wisconsin","120,799"
".Lafayette County, Wisconsin","16,596"
".Langlade County, Wisconsin","19,493"
".Lincoln County, Wisconsin","28,416"
".Manitowoc County, Wisconsin","81,380"
".Marathon County, Wisconsin","138,062"
".Marinette County, Wisconsin","41,882"
".Marquette County, Wisconsin","15,580"
".Menominee County, Wisconsin","4,251"
".Milwaukee County, Wisconsin","939,486"
".Monroe County, Wisconsin","46,266"
".Oconto County, Wisconsin","38,963"
".Oneida County, Wisconsin","37,847"
".Outagamie County, Wisconsin","190,702"
".Ozaukee County, Wisconsin","91,506"
".Pepin County, Wisconsin","7,321"
".Pierce County, Wisconsin","42,204"
".Polk County, Wisconsin","44,969"
".Portage County, Wisconsin","70,375"
".Price County, Wisconsin","14,057"
".Racine County, Wisconsin","198,227"
".Richland County, Wisconsin","17,309"
".Rock County, Wisconsin","163,687"
".Rusk County, Wisconsin","14,191"
".St. Croix County, Wisconsin","93,543"
".Sauk County, Wisconsin","65,772"
".Sawyer County, Wisconsin","18,075"
".Shawano County, Wisconsin","40,878"
".Sheboygan County, Wisconsin","118,033"
".Taylor County, Wisconsin","19,913"
".Trempealeau County, Wisconsin","30,755"
".Vernon County, Wisconsin","30,724"
".Vilas County, Wisconsin","23,044"
".Walworth County, Wisconsin","105,217"
".Washburn County, Wisconsin","16,629"
".Washington County, Wisconsin","136,763"
".Waukesha County, Wisconsin","406,980"
".Waupaca County, Wisconsin","51,817"
".Waushara County, Wisconsin","24,523"
".Winnebago County, Wisconsin","171,718"
".Wood County, Wisconsin","74,206"
".Albany County, Wyoming","37,071"
".Big Horn County, Wyoming","11,518"
".Campbell County, Wyoming","47,027"
".Carbon County, Wyoming","14,532"
".Converse County, Wyoming","13,755"
".Crook County, Wyoming","7,176"
".Fremont County, Wyoming","39,221"
".Goshen County, Wyoming","12,504"
".Hot Springs County, Wyoming","4,618"
".Johnson County, Wyoming","8,452"
".Laramie County, Wyoming","100,510"
".Lincoln County, Wyoming","19,581"
".Natrona County, Wyoming","79,964"
".Niobrara County, Wyoming","2,470"
".Park County, Wyoming","29,624"
".Platte County, Wyoming","8,601"
".Sheridan County, Wyoming","30,922"
".Sublette County, Wyoming","8,730"
".Sweetwater County, Wyoming","42,270"
".Teton County, Wyoming","23,327"
".Uinta County, Wyoming","20,448"
".Washakie County, Wyoming","7,685"
".Weston County, Wyoming","6,838"
